color,director_name,duration,director_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,budget,title_year,imdb_score,movie_facebook_likes
Color,Guillermo del Toro,131,0,101785482,Action,Pacific Rim ,381148,19166,190000000,2013,7,83000
Color,Michael Bay,154,0,352358779,Action,Transformers: Dark of the Moon ,326180,2593,195000000,2011,6.3,46000
Color,Steven Spielberg,122,14000,317011114,Action,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,185000000,2008,6.2,5000
Color,Mark Andrews,93,56,237282182,Adventure,Brave ,273556,5005,185000000,2012,7.2,39000
Color,Justin Lin,122,681,130468626,Action,Star Trek Beyond ,53607,1327,185000000,2016,7.5,30000
Color,Andrew Stanton,98,475,223806889,Adventure,WALL·E ,718837,2975,180000000,2008,8.4,16000
Color,Brett Ratner,91,420,140080850,Action,Rush Hour 3 ,121084,1125,140000000,2007,6.2,0
Color,Roland Emmerich,158,776,166112167,Action,2012 ,283418,2144,200000000,2009,5.8,13000
Color,Robert Zemeckis,96,0,137850096,Animation,A Christmas Carol ,72809,48878,200000000,2009,6.8,0
Color,Lana Wachowski,127,0,47375327,Action,Jupiter Ascending ,139593,47334,176000000,2015,5.4,44000
Color,David Yates,110,282,124051759,Action,The Legend of Tarzan ,42372,21175,180000000,2016,6.6,29000
Color,Andrew Adamson,150,80,291709845,Adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,180000000,2005,6.9,0
Color,Bryan Singer,144,0,154985087,Action,X-Men: Apocalypse ,148379,49684,178000000,2016,7.3,54000
Color,Christopher Nolan,152,22000,533316061,Action,The Dark Knight ,1676169,57802,185000000,2008,9,37000
Color,Pete Docter,96,0,292979556,Adventure,Up ,665575,2635,175000000,2009,8.3,27000
Color,Rob Letterman,94,11,198332128,Action,Monsters vs. Aliens ,114553,2579,175000000,2009,6.5,0
Color,Jon Favreau,126,4000,318298180,Action,Iron Man ,696338,39252,140000000,2008,7.9,10000
Color,Martin Scorsese,126,17000,73820094,Adventure,Hugo ,245333,36017,170000000,2011,7.5,42000
Color,Barry Sonnenfeld,106,188,113745408,Action,Wild Wild West ,129601,15870,170000000,1999,4.8,0
Color,Rob Cohen,112,357,102176165,Action,The Mummy: Tomb of the Dragon Emperor ,117927,9131,145000000,2008,5.2,0
Color,David Ayer,123,452,161087183,Action,Suicide Squad ,118992,11287,175000000,2016,6.9,80000
Color,Tom Shadyac,96,293,100289690,Comedy,Evan Almighty ,115099,108016,175000000,2007,5.4,2000
Color,Doug Liman,113,218,100189501,Action,Edge of Tomorrow ,431620,12652,178000000,2014,7.9,77000
Color,Kevin Reynolds,176,58,88246220,Action,Waterworld ,144337,1004,175000000,1995,6.1,0
Color,Stephen Sommers,118,208,150167630,Action,G.I. Joe: The Rise of Cobra ,174578,26683,175000000,2009,5.8,0
Color,Pete Docter,95,0,356454367,Adventure,Inside Out ,345198,2944,175000000,2015,8.3,118000
Color,Jon Favreau,106,4000,362645141,Adventure,The Jungle Book ,106072,32921,175000000,2016,7.8,65000
Color,Jon Favreau,124,4000,312057433,Action,Iron Man 2 ,522371,48638,200000000,2010,7,18000
Color,Rupert Sanders,132,274,155111815,Action,Snow White and the Huntsman ,228554,72881,170000000,2012,6.1,53000
Color,Robert Stromberg,97,171,241407328,Action,Maleficent ,252257,15516,180000000,2014,7,89000
Color,Matt Reeves,130,198,208543795,Action,Dawn of the Planet of the Apes ,317542,14363,170000000,2014,7.6,45000
Color,Carl Rinsch,128,47,38297305,Action,47 Ronin ,116994,20965,175000000,2013,6.3,35000
Color,Anthony Russo,136,94,259746958,Action,Captain America: The Winter Soldier ,496749,36188,170000000,2014,7.8,55000
Color,Mike Mitchell,93,31,238371987,Adventure,Shrek Forever After ,138661,4628,165000000,2010,6.4,0
Color,Brad Bird,130,663,93417865,Action,Tomorrowland ,128306,5046,190000000,2015,6.5,37000
Color,Don Hall,102,38,222487711,Action,Big Hero 6 ,279093,2963,165000000,2014,7.9,41000
Color,Rich Moore,101,66,189412677,Adventure,Wreck-It Ralph ,272534,4451,165000000,2012,7.8,40000
Color,Robert Zemeckis,100,0,665426,Adventure,The Polar Express ,120798,16264,165000000,2004,6.6,10000
Color,Roland Emmerich,120,776,102315545,Action,Independence Day: Resurgence ,58137,3233,165000000,2016,5.5,67000
Color,Dean DeBlois,98,255,217387997,Adventure,How to Train Your Dragon ,485430,20453,165000000,2010,8.2,33000
Color,Jonathan Mostow,109,84,150350192,Action,Terminator 3: Rise of the Machines ,305340,1769,200000000,2003,6.4,0
Color,James Gunn,121,571,333130696,Action,Guardians of the Galaxy ,682155,32438,170000000,2014,8.1,96000
Color,Christopher Nolan,169,22000,187991439,Adventure,Interstellar ,928227,31488,165000000,2014,8.6,349000
Color,Christopher Nolan,148,22000,292568851,Action,Inception ,1468200,81115,160000000,2010,8.8,175000
Color,Peter Jackson,182,0,303001229,Adventure,The Hobbit: An Unexpected Journey ,637246,9152,180000000,2012,7.9,166000
Color,Rob Cohen,106,357,144512310,Action,The Fast and the Furious ,272223,45327,38000000,2001,6.7,14000
Color,David Fincher,166,21000,127490802,Drama,The Curious Case of Benjamin Button ,459346,13333,150000000,2008,7.8,23000
Color,Matthew Vaughn,132,905,146405371,Action,X-Men: First Class ,518537,50983,160000000,2011,7.8,54000
Color,Francis Lawrence,137,508,281666058,Adventure,The Hunger Games: Mockingjay - Part 2 ,166137,81385,160000000,2015,6.6,38000
Color,Jon Turteltaub,109,226,63143812,Action,The Sorcerer's Apprentice ,124185,13388,150000000,2010,6.1,11000
Color,Wolfgang Petersen,98,249,60655503,Action,Poseidon ,82380,92456,160000000,2006,5.6,0
Color,James Bobin,113,33,76846624,Adventure,Alice Through the Looking Glass ,21352,80806,170000000,2016,6.4,30000
Color,Chris Miller,93,50,320706665,Adventure,Shrek the Third ,211971,4705,160000000,2007,6.1,0
Color,Duncan Jones,123,0,46978995,Action,Warcraft ,111609,5505,160000000,2016,7.3,89000
Color,Alan Taylor,126,230,89732035,Action,Terminator Genisys ,188457,38873,155000000,2015,6.6,82000
Color,Michael Apted,113,150,104383624,Adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,764,155000000,2010,6.3,11000
 Black and White,Michael Bay,184,0,198539855,Action,Pearl Harbor ,254111,5401,140000000,2001,6.1,0
Color,Michael Bay,144,0,318759914,Action,Transformers ,513158,2333,150000000,2007,7.1,8000
Color,Oliver Stone,206,0,34293771,Action,Alexander ,138863,24598,155000000,2004,5.5,0
Color,David Yates,138,282,292000866,Adventure,Harry Potter and the Order of the Phoenix ,355137,33433,150000000,2007,7.5,0
Color,Mike Newell,157,179,289994397,Adventure,Harry Potter and the Goblet of Fire ,385670,53413,150000000,2005,7.6,0
Color,Peter Berg,102,532,227946274,Action,Hancock ,343648,21584,150000000,2008,6.4,0
Color,Francis Lawrence,104,508,256386216,Drama,I Am Legend ,530870,13076,150000000,2007,7.2,11000
Color,Tim Burton,115,13000,206456431,Adventure,Charlie and the Chocolate Factory ,320284,57844,150000000,2005,6.7,0
Color,Brad Bird,111,663,206435493,Animation,Ratatouille ,473887,4764,150000000,2007,8,10000
Color,Christopher Nolan,128,22000,205343774,Action,Batman Begins ,980946,59558,150000000,2005,8.3,15000
Color,Eric Darnell,89,35,179982968,Action,Madagascar: Escape 2 Africa ,146019,3285,150000000,2008,6.7,0
Color,Shawn Levy,105,189,177243721,Adventure,Night at the Museum: Battle of the Smithsonian ,130272,54039,150000000,2009,5.9,2000
Color,Gavin Hood,119,151,179883016,Action,X-Men Origins: Wolverine ,361924,40054,150000000,2009,6.7,0
Color,Lana Wachowski,129,0,139259759,Action,The Matrix Revolutions ,364948,1062,150000000,2003,6.7,0
Color,Chris Buck,102,69,400736600,Adventure,Frozen ,421658,2582,150000000,2013,7.6,58000
Color,Lana Wachowski,138,0,281492479,Action,The Matrix Reloaded ,421818,534,150000000,2003,7.2,0
Color,Alan Taylor,112,230,206360018,Action,Thor: The Dark World ,414070,59803,170000000,2013,7.1,63000
Color,George Miller,120,750,153629485,Action,Mad Max: Fury Road ,552503,40025,150000000,2015,8.1,191000
Color,Ron Howard,146,2000,133375846,Mystery,Angels & Demons ,207839,16948,150000000,2009,6.7,0
Color,Kenneth Branagh,115,0,181015141,Action,Thor ,536314,60059,150000000,2011,7,63000
Color,Byron Howard,96,59,114053579,Adventure,Bolt ,146766,20007,150000000,2008,6.9,0
Color,Hoyt Yeatman,88,12,119420252,Action,G-Force ,33042,2217,150000000,2009,5.1,0
Color,Jonathan Liebesman,99,473,83640426,Action,Wrath of the Titans ,152826,16184,150000000,2012,5.8,19000
Color,Tim Burton,113,13000,79711678,Comedy,Dark Shadows ,199039,80849,100000000,2012,6.2,82000
Color,Christopher McQuarrie,131,188,195000874,Action,Mission: Impossible - Rogue Nation ,232187,21840,150000000,2015,7.4,47000
Color,Joe Johnston,119,394,61937495,Drama,The Wolfman ,89442,13071,150000000,2010,5.8,0
Color,David Yates,110,282,124051759,Action,The Legend of Tarzan ,42372,21175,180000000,2016,6.6,29000
Color,Steve Hickner,91,58,126597121,Adventure,Bee Movie ,105902,6576,150000000,2007,6.2,0
Color,Jennifer Yuh Nelson,90,90,165230261,Action,Kung Fu Panda 2 ,182718,21015,150000000,2011,7.3,20000
Color,M. Night Shyamalan,103,0,131564731,Action,The Last Airbender ,118951,2857,150000000,2010,4.2,18000
Color,J.J. Abrams,124,14000,133382309,Action,Mission: Impossible III ,256695,34817,150000000,2006,6.9,0
Color,Roland Emmerich,131,776,73103784,Action,White House Down ,164238,18204,150000000,2013,6.4,33000
Color,Simon Wells,88,25,21379315,Action,Mars Needs Moms ,17590,2652,150000000,2011,5.4,0
Color,David Bowers,85,42,64459316,Adventure,Flushed Away ,85086,35161,149000000,2006,6.7,0
Color,Joe Wright,111,456,34964818,Adventure,Pan ,39956,21393,150000000,2015,5.8,24000
Color,Rob Minkoff,92,50,111505642,Adventure,Mr. Peabody & Sherman ,47900,5810,145000000,2014,6.9,11000
Color,Wolfgang Petersen,196,249,133228348,Adventure,Troy ,381672,17944,175000000,2004,7.2,0
Color,Eric Darnell,93,35,216366733,Adventure,Madagascar 3: Europe's Most Wanted ,119213,2444,145000000,2012,6.9,17000
 Black and White,Lee Tamahori,133,93,160201106,Action,Die Another Day ,169914,2538,142000000,2002,6.1,0
Color,Paul Feig,116,176,118099659,Action,Ghostbusters ,69757,2097,144000000,2016,5.5,62000
Color,Michael Bay,153,0,201573391,Action,Armageddon ,322395,26029,140000000,1998,6.6,11000
Color,Barry Sonnenfeld,88,188,190418803,Action,Men in Black II ,270207,14823,140000000,2002,6.1,2000
Color,Robert Zemeckis,115,0,82161969,Action,Beowulf ,142440,31523,150000000,2007,6.3,3000
Color,Alessandro Carloni,95,5,143523463,Action,Kung Fu Panda 3 ,64322,36095,145000000,2016,7.2,24000
Color,Brad Bird,133,663,209364921,Action,Mission: Impossible - Ghost Protocol ,365104,21768,145000000,2011,7.4,35000
Color,Peter Ramsey,97,52,103400692,Adventure,Rise of the Guardians ,123553,20645,145000000,2012,7.3,25000
Color,Dean Parisot,90,23,110332737,Comedy,Fun with Dick and Jane ,110788,1997,100000000,2005,6.1,2000
Color,Edward Zwick,154,380,111110575,Action,The Last Samurai ,317166,11945,140000000,2003,7.7,0
Color,Ridley Scott,150,0,65007045,Action,Exodus: Gods and Kings ,128682,26490,140000000,2014,6.1,51000
Color,J.J. Abrams,127,14000,257704099,Action,Star Trek ,504419,39284,150000000,2009,8,19000
Color,Sam Raimi,121,0,403706375,Action,Spider-Man ,544665,40484,139000000,2002,7.3,5000
Color,Dean DeBlois,102,255,176997107,Action,How to Train Your Dragon 2 ,221128,23378,145000000,2014,7.9,46000
Color,Alex Proyas,126,295,31141074,Action,Gods of Egypt ,51892,19769,140000000,2016,5.5,24000
Color,Rob Cohen,121,357,31704416,Action,Stealth ,45455,2705,135000000,2005,5,0
Color,Zack Snyder,215,0,107503316,Action,Watchmen ,392474,2530,130000000,2009,7.7,18000
Color,Richard Donner,127,503,129734803,Action,Lethal Weapon 4 ,127497,6171,140000000,1998,6.6,0
Color,Ang Lee,138,0,132122995,Action,Hulk ,212106,1814,137000000,2003,5.7,0
Color,Jon M. Chu,122,209,122512052,Action,G.I. Joe: Retaliation ,146352,31958,130000000,2013,5.8,42000
Color,Breck Eisner,124,42,68642452,Action,Sahara ,77673,13073,130000000,2005,6,0
Color,Hironobu Sakaguchi,106,6,32131830,Action,Final Fantasy: The Spirits Within ,72259,15015,137000000,2001,6.4,0
Color,Joe Johnston,124,394,176636816,Action,Captain America: The First Avenger ,508818,19761,140000000,2011,6.9,46000
Color,Michael Apted,128,150,126930660,Action,The World Is Not Enough ,157519,2037,135000000,1999,6.4,2000
Color,Peter Weir,138,608,93926386,Action,Master and Commander: The Far Side of the World ,168207,1205,150000000,2003,7.4,0
Color,Bill Condon,115,386,292298923,Adventure,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,120000000,2012,5.5,65000
Color,George Miller,100,750,63992328,Animation,Happy Feet 2 ,32399,62644,135000000,2011,5.9,0
Color,Louis Leterrier,135,255,134518390,Action,The Incredible Hulk ,326286,5811,150000000,2008,6.8,0
Color,Steven Spielberg,117,14000,52792307,Adventure,The BFG ,12572,1950,140000000,2016,6.8,27000
Color,Alejandro G. Iñárritu,156,0,183635922,Adventure,The Revenant ,406020,57108,135000000,2015,8.1,190000
Color,David Soren,96,13,83024900,Adventure,Turbo ,62424,17416,135000000,2013,6.5,13000
Color,Gore Verbinski,107,563,123207194,Adventure,Rango ,183208,43291,135000000,2011,7.2,26000
Color,Eric Darnell,92,35,83348920,Adventure,Penguins of Madagascar ,60230,19963,132000000,2014,6.7,11000
Color,Paul Greengrass,115,521,227137090,Action,The Bourne Ultimatum ,491077,17369,110000000,2007,8.1,0
Color,Mark Osborne,92,54,215395021,Action,Kung Fu Panda ,307029,12754,130000000,2008,7.6,6000
Color,Peyton Reed,117,235,180191634,Action,Ant-Man ,313866,5730,130000000,2015,7.4,61000
Color,Francis Lawrence,146,508,424645577,Adventure,The Hunger Games: Catching Fire ,498397,49355,130000000,2013,7.6,82000
Color,Bill Condon,115,386,292298923,Adventure,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,120000000,2012,5.5,65000
Color,Tim Johnson,94,12,177343675,Adventure,Home ,70121,17883,135000000,2015,6.7,26000
Color,Steven Spielberg,116,14000,234277056,Adventure,War of the Worlds ,334345,12758,132000000,2005,6.5,0
Color,Michael Bay,147,0,138396624,Action,Bad Boys II ,178126,12954,130000000,2003,6.6,0
Color,Chris Miller,90,50,149234747,Action,Puss in Boots ,114287,5046,130000000,2011,6.7,16000
Color,Phillip Noyce,101,176,118311368,Action,Salt ,245621,12406,110000000,2010,6.4,23000
Color,Darren Aronofsky,138,0,101160529,Action,Noah ,200022,32355,125000000,2014,5.8,71000
Color,Steven Spielberg,107,14000,77564037,Action,The Adventures of Tintin ,177383,4631,135000000,2011,7.4,44000
Color,Alfonso Cuarón,142,0,249358727,Adventure,Harry Potter and the Prisoner of Azkaban ,382255,33284,130000000,2004,7.8,11000
Color,Baz Luhrmann,165,1000,49551662,Adventure,Australia ,102338,921,130000000,2008,6.6,0
Color,M. Night Shyamalan,100,0,60522097,Action,After Earth ,158720,14168,130000000,2013,4.9,37000
Color,Eric Leighton,82,0,137748063,Adventure,Dinosaur ,38438,2945,127500000,2000,6.5,0
Color,Shawn Levy,98,189,113733726,Adventure,Night at the Museum: Secret of the Tomb ,67223,53587,127000000,2014,6.2,11000
Color,Tom McGrath,95,96,148337537,Action,Megamind ,172754,46120,130000000,2010,7.3,13000
Color,Chris Columbus,159,0,317557891,Adventure,Harry Potter and the Sorcerer's Stone ,444683,13191,125000000,2001,7.5,16000
Color,Robert Schwentke,96,124,33592415,Action,R.I.P.D. ,91640,31549,130000000,2013,5.6,20000
Color,Gore Verbinski,143,563,305388685,Action,Pirates of the Caribbean: The Curse of the Black Pearl ,809474,48184,140000000,2003,8.1,10000
Color,Francis Lawrence,123,508,337103873,Adventure,The Hunger Games: Mockingjay - Part 1 ,305008,81385,125000000,2014,6.7,52000
Color,Ron Howard,174,2000,217536138,Mystery,The Da Vinci Code ,314253,16008,125000000,2006,6.6,0
Color,Carlos Saldanha,101,107,131536019,Adventure,Rio 2 ,58498,1031,103000000,2014,6.4,0
Color,Bryan Singer,134,0,214948780,Action,X-Men 2 ,405973,20952,110000000,2003,7.5,0
Color,Justin Lin,132,681,209805005,Action,Fast Five ,284792,55345,125000000,2011,7.3,54000
Color,Guy Ritchie,129,0,186830669,Action,Sherlock Holmes: A Game of Shadows ,338635,22403,125000000,2011,7.5,39000
Color,Louis Leterrier,106,255,163192114,Action,Clash of the Titans ,229679,18003,125000000,2010,5.8,15000
Color,Paul Verhoeven,113,719,119412921,Action,Total Recall ,240241,1441,65000000,1990,7.5,0
Color,John McTiernan,102,323,32694788,Action,The 13th Warrior ,101411,1815,85000000,1999,6.6,0
Color,Tony Gilroy,135,209,113165635,Action,The Bourne Legacy ,229823,12175,125000000,2012,6.7,31000
Color,Joel Schumacher,125,541,107285004,Action,Batman & Robin ,189855,2699,125000000,1997,3.7,0
Color,Ron Howard,110,2000,260031035,Comedy,How the Grinch Stole Christmas ,141414,4146,123000000,2000,6,0
Color,Roland Emmerich,124,776,186739919,Action,The Day After Tomorrow ,333248,20553,125000000,2004,6.4,19000
Color,John Woo,123,610,215397307,Action,Mission: Impossible II ,242188,11930,125000000,2000,6.1,0
Color,Wolfgang Petersen,130,249,182618434,Action,The Perfect Storm ,133076,2684,140000000,2000,6.4,0
Color,Tim Story,92,167,131920333,Action,Fantastic 4: Rise of the Silver Surfer ,213275,15302,130000000,2007,5.6,0
Color,Ang Lee,127,0,124976634,Adventure,Life of Pi ,440084,2121,120000000,2012,8,122000
Color,Mark Steven Johnson,123,160,115802596,Action,Ghost Rider ,182661,14017,110000000,2007,5.2,0
Color,Paul Greengrass,123,521,108521835,Action,Jason Bourne ,40123,13752,120000000,2016,7.1,31000
Color,McG,107,368,100685880,Action,Charlie's Angels: Full Throttle ,100821,4046,120000000,2003,4.8,0
Color,Ridley Scott,124,0,126464904,Adventure,Prometheus ,456260,24098,130000000,2012,7,97000
Color,Rob Minkoff,77,50,64736114,Adventure,Stuart Little 2 ,36471,2682,120000000,2002,5.4,459
Color,Neill Blomkamp,109,662,93050117,Action,Elysium ,338087,17689,115000000,2013,6.6,61000
Color,David Twohy,134,123,57637485,Action,The Chronicles of Riddick ,183909,17159,105000000,2004,6.7,0
Color,José Padilha,117,294,58607007,Action,RoboCop ,182899,14161,100000000,2014,6.2,60000
Color,Lana Wachowski,135,0,43929341,Action,Speed Racer ,57873,902,120000000,2008,6.1,0
Color,James L. Brooks,121,274,30212620,Comedy,How Do You Know ,35066,993,120000000,2010,5.3,0
Color,James Mangold,117,446,76418654,Action,Knight and Day ,148280,12731,117000000,2010,6.3,11000
Color,Joseph Kosinski,124,364,89021735,Action,Oblivion ,387436,22004,120000000,2013,7,71000
Color,George Lucas,140,0,380262555,Action,Star Wars: Episode III - Revenge of the Sith ,520104,44042,113000000,2005,7.6,10000
Color,George Lucas,142,0,310675583,Action,Star Wars: Episode II - Attack of the Clones ,464310,42990,115000000,2002,6.7,0
Color,Pete Docter,92,0,289907418,Adventure,"Monsters, Inc. ",585659,15013,115000000,2001,8.1,0
Color,James Mangold,138,446,132550960,Action,The Wolverine ,328067,23755,120000000,2013,6.7,68000
Color,George Lucas,136,0,474544677,Action,Star Wars: Episode I - The Phantom Menace ,534658,37723,115000000,1999,6.5,13000
Color,Kirk De Micco,98,16,187165546,Adventure,The Croods ,150618,43286,135000000,2013,7.3,28000
Color,John Woo,153,610,40911830,Action,Windtalkers ,55994,15046,115000000,2002,6,0
Color,Cedric Nicolas-Troyan,120,19,47952020,Action,The Huntsman: Winter's War ,37750,46719,115000000,2016,6.1,16000
Color,Jonathan Liebesman,101,473,190871240,Action,Teenage Mutant Ninja Turtles ,167085,2690,125000000,2014,5.9,62000
Color,Alfonso Cuarón,91,0,274084951,Adventure,Gravity ,582917,87,100000000,2013,7.8,147000
Color,Roger Donaldson,108,79,67155742,Action,Dante's Peak ,62271,1569,116000000,1997,5.8,0
Color,Dave Green,112,13,81638674,Action,Teenage Mutant Ninja Turtles: Out of the Shadows ,17533,8306,135000000,2016,6.3,12000
Color,Josh Trank,100,128,56114221,Action,Fantastic Four ,110486,1261,120000000,2015,4.3,41000
Color,Shawn Levy,108,189,250863268,Action,Night at the Museum ,234480,55486,110000000,2006,6.4,3000
Color,Brad Peyton,114,62,155181732,Action,San Andreas ,147497,16718,110000000,2015,6.1,52000
Color,Roger Spottiswoode,119,55,125332007,Action,Tomorrow Never Dies ,149680,2958,110000000,1997,6.5,0
Color,Roland Emmerich,142,776,113330342,Action,The Patriot ,207613,19454,110000000,2000,7.1,4000
Color,Steven Soderbergh,125,0,125531634,Crime,Ocean's Twelve ,284852,19359,110000000,2004,6.4,0
Color,Doug Liman,126,218,186336103,Action,Mr. & Mrs. Smith ,348861,22722,120000000,2005,6.5,0
Color,Robert Schwentke,119,124,129995817,Adventure,Insurgent ,154621,22622,110000000,2015,6.3,27000
 Black and White,Martin Scorsese,170,17000,102608827,Biography,The Aviator ,264318,34582,110000000,2004,7.5,0
Color,Rob Letterman,85,11,42776259,Adventure,Gulliver's Travels ,53160,1173,112000000,2010,4.9,0
Color,Michel Gondry,119,1000,98780042,Action,The Green Hornet ,136019,13391,120000000,2011,5.8,14000
Color,Noam Murro,102,263,106369117,Action,300: Rise of an Empire ,225273,10583,110000000,2014,6.2,71000
Color,Raja Gosnell,103,67,142614158,Adventure,The Smurfs ,66593,692,110000000,2011,5.5,31000
Color,Will Finn,76,6,50026353,Animation,Home on the Range ,13581,13607,110000000,2004,5.4,304
Color,Robert Schwentke,120,124,66002193,Action,Allegiant ,44296,12452,110000000,2016,5.8,12000
Color,Shawn Levy,127,189,85463309,Action,Real Steel ,254841,22254,110000000,2011,7.1,36000
Color,Raja Gosnell,105,67,71017784,Adventure,The Smurfs 2 ,27257,914,105000000,2013,5.4,0
