experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size
SE,FT,Data Scientist,155000,hybrid,M
SE,FT,Data Manager,115000,fully remote,M
SE,FT,Data Manager,86000,fully remote,M
SE,FT,Data Scientist,165000,hybrid,M
SE,FT,Data Scientist,140000,hybrid,M
SE,FT,Data Analyst,139000,hybrid,M
SE,FT,Data Analyst,106000,hybrid,M
MI,FT,Machine Learning Engineer,280700,fully remote,M
MI,FT,Machine Learning Engineer,150450,fully remote,M
SE,FT,Data Architect,250500,hybrid,M
SE,FT,Data Architect,159500,hybrid,M
SE,FT,Data Engineer,145000,hybrid,M
SE,FT,Data Engineer,115000,hybrid,M
SE,FT,Data Analyst,140000,hybrid,M
SE,FT,Data Analyst,120000,hybrid,M
EN,FT,Data Scientist,130001,fully remote,M
EN,FT,Data Scientist,71907,fully remote,M
MI,FT,Data Scientist,93918,fully remote,M
MI,FT,Data Scientist,51962,fully remote,M
EN,FT,Data Engineer,85000,hybrid,M
EN,FT,Data Engineer,65000,hybrid,M
SE,FT,Machine Learning Engineer,257000,hybrid,M
SE,FT,Machine Learning Engineer,147000,hybrid,M
SE,FT,Data Engineer,222000,fully remote,M
SE,FT,Data Engineer,175000,fully remote,M
SE,FT,Data Scientist,203000,fully remote,M
SE,FT,Data Scientist,133200,fully remote,M
EN,FT,Applied Scientist,213660,hybrid,L
EN,FT,Applied Scientist,130760,hybrid,L
SE,FT,Data Engineer,221000,hybrid,M
SE,FT,Data Engineer,147000,hybrid,M
SE,FT,Data Quality Analyst,100000,hybrid,M
SE,FT,Data Quality Analyst,80000,hybrid,M
SE,FT,Data Scientist,185900,hybrid,M
SE,FT,Data Scientist,129300,hybrid,M
SE,FT,Data Scientist,238000,fully remote,M
SE,FT,Data Scientist,156000,fully remote,M
SE,FT,Machine Learning Engineer,304000,fully remote,M
SE,FT,Machine Learning Engineer,199000,fully remote,M
SE,FT,Data Engineer,150000,hybrid,M
SE,FT,Data Engineer,130000,hybrid,M
SE,FT,Data Scientist,140000,fully remote,M
SE,FT,Data Scientist,110000,fully remote,M
MI,FT,Data Analyst,90000,hybrid,M
MI,FT,Data Analyst,75000,hybrid,M
SE,FT,Data Engineer,240000,hybrid,M
SE,FT,Data Engineer,183600,hybrid,M
MI,FT,Data Specialist,130000,hybrid,M
MI,FT,Data Specialist,80000,hybrid,M
SE,FT,Data Engineer,250000,hybrid,M
SE,FT,Data Engineer,150000,hybrid,M
SE,FT,Data Analytics Manager,160000,fully remote,M
SE,FT,Data Analytics Manager,120000,fully remote,M
SE,FT,Machine Learning Engineer,289076,hybrid,M
SE,FT,Machine Learning Engineer,202353,hybrid,M
SE,FT,Data Engineer,145000,hybrid,M
SE,FT,Data Engineer,120000,hybrid,M
SE,FT,Data Analyst,155000,hybrid,M
SE,FT,Data Analyst,106000,hybrid,M
SE,FT,Data Engineer,200000,hybrid,M
SE,FT,Data Engineer,160000,hybrid,M
SE,FT,Data Scientist,157750,fully remote,M
SE,FT,Data Scientist,104650,fully remote,M
MI,FT,Data Scientist,180000,fully remote,M
MI,FT,Data Scientist,140000,fully remote,M
EX,FT,Data Scientist,200000,hybrid,M
EX,FT,Data Scientist,145000,hybrid,M
MI,FT,Lead Data Analyst,68000,hybrid,L
EN,FT,BI Data Engineer,60000,fully remote,M
EN,FT,Data Engineer,85000,hybrid,M
EN,FT,Data Engineer,65000,hybrid,M
MI,FT,Data Engineer,125000,hybrid,M
MI,FT,Data Engineer,90000,hybrid,M
SE,FT,Data Analyst,105000,fully remote,M
SE,FT,Data Analyst,90000,fully remote,M
SE,FT,Analytics Engineer,179820,hybrid,M
SE,FT,Analytics Engineer,143860,hybrid,M
SE,FT,Data Analyst,135000,hybrid,M
SE,FT,Data Analyst,105500,hybrid,M
EN,FT,Research Engineer,155000,hybrid,M
EN,FT,Research Engineer,125000,hybrid,M
SE,FT,Machine Learning Engineer,241000,hybrid,M
SE,FT,Machine Learning Engineer,181000,hybrid,M
SE,FT,Data Scientist,252000,hybrid,M
SE,FT,Data Scientist,154000,hybrid,M
EX,FT,Data Architect,180000,hybrid,M
EX,FT,Data Architect,155000,hybrid,M
SE,FT,Data Scientist,191765,hybrid,M
SE,FT,Data Scientist,134236,hybrid,M
SE,FT,Data Scientist,175000,fully remote,M
SE,FT,Data Scientist,145000,fully remote,M
SE,FT,Data Scientist,237000,fully remote,M
SE,FT,Data Scientist,145000,fully remote,M
EN,FT,Research Engineer,155000,hybrid,M
EN,FT,Research Engineer,125000,hybrid,M
SE,FT,Data Analyst,80000,hybrid,M
SE,FT,Data Analyst,70000,hybrid,M
SE,FT,Data Engineer,146000,hybrid,M
SE,FT,Data Engineer,75000,hybrid,M
EN,FT,Data Analyst,64200,fully remote,M
EN,FT,Data Analyst,56100,fully remote,M
SE,FT,Machine Learning Engineer,170000,hybrid,M
SE,FT,Machine Learning Engineer,130000,hybrid,M
SE,FT,Data Analyst,208450,fully remote,M
SE,FT,Data Analyst,170550,fully remote,M
SE,FT,Machine Learning Engineer,125000,hybrid,M
SE,FT,Machine Learning Engineer,100000,hybrid,M
MI,FT,Data Manager,135000,hybrid,M
MI,FT,Data Manager,120000,hybrid,M
SE,FT,Data Scientist,200000,fully remote,M
SE,FT,Data Scientist,170000,fully remote,M
SE,FT,Applied Scientist,222200,hybrid,L
SE,FT,Applied Scientist,136000,hybrid,L
SE,FT,Applied Scientist,260000,hybrid,L
SE,FT,Applied Scientist,136000,hybrid,L
SE,FT,Data Analyst,153600,hybrid,M
SE,FT,Data Analyst,100500,hybrid,M
SE,FT,Applied Scientist,205000,fully remote,M
SE,FT,Applied Scientist,184000,fully remote,M
MI,FT,Data Analyst,182500,hybrid,M
MI,FT,Data Analyst,121500,hybrid,M
SE,FT,Data Engineer,203100,hybrid,M
SE,FT,Data Engineer,114500,hybrid,M
SE,FT,Data Engineer,252000,hybrid,M
SE,FT,Data Engineer,129000,hybrid,M
EN,FT,Data Engineer,92700,fully remote,M
EN,FT,Data Engineer,61800,fully remote,M
SE,FT,Data Engineer,160000,fully remote,M
SE,FT,Data Engineer,130000,fully remote,M
SE,FT,Data Scientist,170000,hybrid,M
SE,FT,Data Scientist,135000,hybrid,M
MI,FT,Data Architect,167500,hybrid,M
MI,FT,Data Architect,106500,hybrid,M
SE,FT,Data Scientist,195000,hybrid,M
SE,FT,Data Scientist,160000,hybrid,M
MI,FT,Data Engineer,146000,hybrid,M
MI,FT,Data Engineer,75000,hybrid,M
EX,FT,Data Engineer,286000,fully remote,M
EX,FT,Data Engineer,207000,fully remote,M
SE,FT,Data Analyst,100000,fully remote,M
SE,FT,Data Analyst,80000,fully remote,M
SE,FT,Data Engineer,223250,hybrid,M
SE,FT,Data Engineer,178600,hybrid,M
EX,FT,Director of Data Science,353200,hybrid,M
EX,FT,Director of Data Science,249300,hybrid,M
MI,FT,Machine Learning Scientist,230000,hybrid,M
MI,FT,Machine Learning Scientist,220000,hybrid,M
SE,FT,Data Scientist,297300,fully remote,M
SE,FT,Data Scientist,198200,fully remote,M
MI,FT,Research Scientist,210000,fully remote,M
MI,FT,Research Scientist,151800,fully remote,M
SE,FT,Data Scientist,200000,fully remote,M
SE,FT,Data Scientist,170000,fully remote,M
SE,FT,Data Scientist,317070,hybrid,M
SE,FT,Data Scientist,170730,hybrid,M
SE,FT,Data Engineer,128000,hybrid,M
SE,FT,Data Engineer,81500,hybrid,M
MI,FT,MLOps Engineer,134000,fully remote,M
MI,FT,MLOps Engineer,124000,fully remote,M
SE,FT,Data Engineer,171250,hybrid,M
SE,FT,Data Engineer,113750,hybrid,M
SE,FT,Data Engineer,165000,hybrid,M
SE,FT,Data Engineer,132300,hybrid,M
SE,FT,Data Scientist,225000,hybrid,M
SE,FT,Data Scientist,175000,hybrid,M
SE,FT,Data Engineer,230000,hybrid,M
SE,FT,Data Engineer,124500,hybrid,M
SE,FT,Machine Learning Engineer,247500,hybrid,M
SE,FT,Machine Learning Engineer,172200,hybrid,M
SE,FT,Data Analyst,175000,hybrid,M
SE,FT,Data Analyst,145000,hybrid,M
SE,FT,Data Analyst,148700,hybrid,M
SE,FT,Data Analyst,125600,hybrid,M
SE,FT,Data Engineer,145000,hybrid,M
SE,FT,Data Engineer,115000,hybrid,M
SE,FT,Research Scientist,200000,hybrid,M
SE,FT,Research Scientist,150000,hybrid,M
EN,FT,Research Engineer,160000,hybrid,M
EN,FT,Research Engineer,120000,hybrid,M
SE,FT,Data Analyst,185000,fully remote,M
SE,FT,Data Analyst,120250,fully remote,M
SE,FT,Data Scientist,275300,fully remote,M
SE,FT,Data Scientist,183000,fully remote,M
SE,FT,Data Architect,170000,fully remote,M
SE,FT,Data Architect,125000,fully remote,M
MI,FT,Data Architect,167500,hybrid,M
MI,FT,Data Architect,106500,hybrid,M
SE,FT,Research Scientist,250000,hybrid,M
SE,FT,Research Scientist,200000,hybrid,M
MI,FT,Machine Learning Engineer,135000,hybrid,L
SE,FT,Machine Learning Engineer,216000,fully remote,M
SE,FT,Machine Learning Engineer,184000,fully remote,M
SE,FT,Data Engineer,180000,fully remote,M
SE,FT,Data Engineer,165000,fully remote,M
SE,FT,Data Scientist,185900,hybrid,M
SE,FT,Data Scientist,129300,hybrid,M
SE,FT,Data Engineer,145000,hybrid,M
SE,FT,Data Engineer,120000,hybrid,M
MI,FT,Data Engineer,143865,hybrid,M
MI,FT,Data Engineer,115092,hybrid,M
MI,FT,Machine Learning Engineer,130000,hybrid,M
MI,FT,Machine Learning Engineer,90000,hybrid,M
SE,FT,Data Scientist,173000,fully remote,M
SE,FT,Data Scientist,132000,fully remote,M
SE,FT,Data Analyst,208049,hybrid,M
SE,FT,Data Analyst,128500,hybrid,M
SE,FT,Analytics Engineer,179820,hybrid,M
SE,FT,Analytics Engineer,143860,hybrid,M
SE,FT,Data Engineer,167500,hybrid,M
SE,FT,Data Engineer,106500,hybrid,M
SE,FT,Data Scientist,275300,fully remote,M
SE,FT,Data Scientist,183500,fully remote,M
MI,FT,Data Engineer,149600,hybrid,M
MI,FT,Data Engineer,102000,hybrid,M
EX,FT,Data Scientist,145000,hybrid,M
EX,FT,Data Scientist,100000,hybrid,M
SE,FT,Data Analyst,190000,fully remote,M
SE,FT,Data Analyst,95000,fully remote,M
SE,FT,Data Analyst,153600,hybrid,M
SE,FT,Data Analyst,106800,hybrid,M
MI,FT,Data Analyst,128000,hybrid,M
MI,FT,Data Analyst,85000,hybrid,M
MI,FT,Data Engineer,151000,hybrid,M
MI,FT,Data Engineer,140000,hybrid,M
SE,FT,Data Scientist,275300,fully remote,M
SE,FT,Data Scientist,183500,fully remote,M
SE,FT,Machine Learning Scientist,220000,hybrid,M
SE,FT,Machine Learning Scientist,170000,hybrid,M
SE,FT,Data Analyst,135000,hybrid,M
SE,FT,Data Analyst,105500,hybrid,M
SE,FT,Data Analyst,100000,fully remote,M
SE,FT,Data Analyst,80000,fully remote,M
MI,FT,Data Analyst,154000,hybrid,M
MI,FT,Data Analyst,143000,hybrid,M
EN,FT,Data Scientist,190000,hybrid,M
EN,FT,Data Scientist,120000,hybrid,M
SE,FT,Data Engineer,150000,hybrid,M
SE,FT,Data Engineer,111000,hybrid,M
EX,FT,Data Engineer,265000,hybrid,M
EX,FT,Data Engineer,235000,hybrid,M
SE,FT,Data Engineer,160000,fully remote,M
SE,FT,Data Engineer,130000,fully remote,M
MI,FT,Data Engineer,75000,fully remote,M
MI,FT,Data Engineer,60400,fully remote,M
EN,FT,Data Analyst,85000,fully remote,M
EN,FT,Data Analyst,75000,fully remote,M
SE,FT,Data Engineer,252000,hybrid,M
SE,FT,Data Engineer,129000,hybrid,M
EN,FT,Data Engineer,92700,fully remote,M
EN,FT,Data Engineer,61800,fully remote,M
MI,FT,Data Analyst,83500,fully remote,M
MI,FT,Data Analyst,52500,fully remote,M
SE,FT,Data Scientist,201036,hybrid,M
SE,FT,Data Scientist,134024,hybrid,M
SE,FT,Data Analyst,165000,fully remote,M
SE,FT,Data Analyst,140000,fully remote,M
EN,FT,Data Engineer,62000,fully remote,M
EN,FT,Data Engineer,58000,fully remote,M
SE,FT,Data Scientist,172000,hybrid,M
SE,FT,Data Scientist,115000,hybrid,M
EN,FT,Data Engineer,125000,hybrid,M
EN,FT,Data Engineer,90000,hybrid,M
SE,FT,Data Engineer,163800,hybrid,M
SE,FT,Data Engineer,126000,hybrid,M
SE,FT,Data Scientist,237000,fully remote,M
SE,FT,Data Scientist,145000,fully remote,M
MI,FT,Data Engineer,90000,fully remote,M
MI,FT,Data Engineer,90000,fully remote,M
SE,FT,Data Engineer,139500,hybrid,M
SE,FT,Data Engineer,109400,hybrid,M
MI,FT,Data Engineer,145000,hybrid,M
MI,FT,Data Engineer,120000,hybrid,M
SE,FT,Data Engineer,205600,hybrid,L
SE,FT,Data Engineer,105700,hybrid,L
SE,FT,Data Engineer,252000,hybrid,M
SE,FT,Data Engineer,129000,hybrid,M
SE,FT,Data Scientist,239748,hybrid,M
SE,FT,Data Scientist,159832,hybrid,M
SE,FT,Data Scientist,186300,fully remote,M
SE,FT,Data Scientist,102500,fully remote,M
SE,FT,Data Engineer,165000,hybrid,M
SE,FT,Data Engineer,132300,hybrid,M
SE,FT,Data Scientist,190000,hybrid,M
SE,FT,Data Scientist,126000,hybrid,M
SE,FT,Data Architect,149040,fully remote,M
SE,FT,Data Architect,113900,fully remote,M
SE,FT,Data Engineer,153600,fully remote,M
SE,FT,Data Engineer,106800,fully remote,M
SE,FT,Data Engineer,172600,fully remote,M
SE,FT,Data Engineer,107900,fully remote,M
SE,FT,Data Analyst,180180,hybrid,M
SE,FT,Data Analyst,106020,hybrid,M
SE,FT,Data Architect,376080,fully remote,M
SE,FT,Data Architect,213120,fully remote,M
SE,FT,Data Analyst,153600,hybrid,M
SE,FT,Data Analyst,100500,hybrid,M
SE,FT,Data Analyst,206500,fully remote,M
SE,FT,Data Analyst,121600,fully remote,M
SE,FT,Data Engineer,260000,hybrid,M
SE,FT,Data Engineer,225000,hybrid,M
EX,FT,Data Engineer,194500,hybrid,M
EX,FT,Data Engineer,115500,hybrid,M
SE,FT,Cloud Database Engineer,170000,fully remote,L
SE,FT,Applied Machine Learning Scientist,90000,fully remote,L
EN,FT,Data Analyst,95000,fully remote,M
EN,FT,Data Analyst,70000,fully remote,M
SE,FT,Data Engineer,275000,hybrid,M
SE,FT,Data Engineer,160000,hybrid,M
SE,FT,Data Analyst,115934,fully remote,M
SE,FT,Data Analyst,81666,fully remote,M
SE,FT,Data Scientist,175000,hybrid,M
SE,FT,Data Scientist,120000,hybrid,M
SE,FT,Machine Learning Engineer,150000,fully remote,M
SE,FT,Machine Learning Engineer,120000,fully remote,M
SE,FT,Research Engineer,200000,hybrid,M
SE,FT,Research Engineer,175000,hybrid,M
MI,FT,Data Analyst,206000,hybrid,M
MI,FT,Data Analyst,130000,hybrid,M
